mid,chinese_text,like_count,comments_count,reposts_count,created_date,user_id,isLongText,attitude
4.42E+15,中秋福利哈，老爷子支持的转账已就位哈哈关注我的真爱转这条抽一个宝贝送新款5g华为mate30@微博抽奖平台 什么时候可以买第一时间开搜了一下官方还没出图，所以就私心放个我【占星妖妖】的小广子，大家点点关注不迷路！🌟 ,919,1003,2817,9月13日,1749268063,0,1
4.42E+15,远行随拍，博友假日快乐别说追最新的Mate30系列，iPhone11系列拍照水准就连P30系列都追不上。苹果发布了个刚上市就落后别人一代的产品，反制华为只能靠封杀了。如果没有各种禁售，Mate30系列在全球影像手机市场会把iPhone新机摁在地上随意摩擦。 ,73,87,6,9月15日,1219795431,0,1
4.42E+15,疑似华为mate30 pro真机上手打游戏…小刘海，瀑布屏。真真假假，假假真真。 ,32,34,0,9月15日,1840918185,0,0
4.42E+15,疑似华为Mate30 保护壳曝光，或采用5倍光变的潜望式镜头。 ,9,8,2,9月15日,2400814017,0,1
4.42E+15,这个是华为Mate30 PRO吗？想翻过来看正面是不是瀑布屏。 ,2,1,0,9月15日,3788429711,0,0
4.42E+15,好纠结到底是继续买苹果手机还是华为呢，是买P30Pro还是买Mate30呢 ,0,5,0,9月15日,2376153500,0,0
4.42E+15,疑似华为Mate30手机壳曝光，下面正方形那个镜头是啥作用？ ,3,4,1,9月15日,2688556445,0,0
4.42E+15,华为MATE30保护壳？？？？ 天津 ,3,0,0,9月15日,1782998863,0,0
4.42E+15,华为Mate30保护壳曝光，感觉好丑啊 ,10,14,0,9月15日,5609650132,0,-1
4.42E+15,你们说今年的Mate30系列手机会是多少呢？标准版我猜测8+128  4199起步，Pro版8+128  5999起步 另外，很有可能这次Pro版标配5G，你们说呢？ ,16,22,0,9月15日,1417975257,0,0
4.42E+15,华为Mate30应该不会长酱紫的，律师函。。。@长安数码君 ,0,4,0,9月15日,3788429711,0,1
4.42E+15,疑似华为Mate30保护壳曝光，莫非Mate30也采用支持5倍光变的潜望式镜头？ ,14,13,2,9月15日,5132930861,0,1
4.42E+15,保护套信息显示，华为Mate30 Pro支持潜望式5倍光学变焦！ ,96,54,2,9月15日,1823630913,0,1
4.42E+15,今年的华为Mate30系列没有想象中的那么贵，买了华为Mate20X 5G版手机的用户可能就。。。 ,1,1,1,9月15日,5032311013,0,-1
4.42E+15,疑似华为Mate30保护壳曝光，感觉假的有点过分，这都五个摄像头了 ,6,4,0,9月15日,2550198830,0,1
4.42E+15,Mate30的后盖曝光，小正方形的开孔，潜望式长焦应该实锤了 ,1,2,4,9月15日,1771017150,0,1
4.42E+15,vivo NEX 3真机照，可以预订2019颜值最高的手机了吧，三星Galaxy Note 10有挖孔，华为Mate30有刘海，都没有vivo NEX 3的整机感好看。 ,2,10,0,9月15日,2107947800,0,-1
4.42E+15,华为mate30的手机壳 不知道有没有tof镜头 ,3,2,0,9月15日,2281454430,0,0
4.42E+15,华为mate30背部设计不可能这样，不然就扣@长安数码君 的榨菜。 ,68,21,3,9月15日,1840918185,0,0
4.42E+15,早安，没有买iPhone11的请注意⚠️，距离vivo NEX3 5G版发布还有1天；距离华为Mate30 Pro发布还有4天；距离小米MIX4发布还有9天… ,72,35,5,9月15日,1563458343,0,1
4.42E+15,华为mate30上市后，p30pro会降价吗？好想现在就换新手机哦 ,0,4,0,9月15日,6199957678,0,1
4.42E+15,浴霸家族大聚会：华为 Mate30、vivo NEX 3、Motorola One Zoom、iPhone 11 Pro、一加 7T Pro，你们觉得那款更好看呢？？ ,4,1,1,9月15日,2963774131,0,0
4.42E+15,累了，iphone11和华为mate30我是真的每天都在纠结，sa了我吧。我的小破6s还能坚持一年吗，等明年苹果5g出来。 ,2,18,0,9月15日,6584134919,0,-1
4.42E+15,华为Mate30mate30是真的丑，不过比起隔壁iPhone11刚发布就落后华为一代的样子，含泪买了吧 北京 · 五道口 ,14,0,0,9月15日,1074526074,0,1
4.42E+15,又是壳厂曝光，这次曝光的是今年下半年的华为旗舰华为Mate30系列的背面设计，这下实锤了奥利奥设计了，只不过这个闪光灯真的感觉像是美人脸上多个痣，你觉得那？ ,1,0,2,9月15日,5113789403,0,-1
