mid,raw_text,isLongText,like_count,comments_count,reposts_count,created_at,source,user_id
4415998503823307,"中秋福利哈，老爷子支持的转账已就位哈哈<br /><br />关注我的真爱<span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span><br />转这条抽一个宝贝送新款5g华为mate30<br /><a href='/n/微博抽奖平台'>@微博抽奖平台</a> 什么时候可以买第一时间开<br /><br />搜了一下官方还没出图，所以就私心放个我【占星妖妖】的小广子，大家点点关注不迷路！🌟 ",0,919,1003,2817,09-13,,1749268063
4416476792619830,"远行随拍，博友假日快乐<span class=""url-icon""><img alt=[微风] src=""//h5.sinaimg.cn/m/emoticon/icon/others/w_weifeng-33be96b05d.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[太阳] src=""//h5.sinaimg.cn/m/emoticon/icon/others/w_taiyang-90b439dadf.png"" style=""width:1em; height:1em;"" /></span>别说追最新的Mate30系列，iPhone11系列拍照水准就连P30系列都追不上。苹果发布了个刚上市就落后别人一代的产品，反制华为只能靠封杀了。如果没有各种禁售，Mate30系列在全球影像手机市场会把iPhone新机摁在地上随意摩擦。 ",0,73,87,6,16小时前,HUAWEI P30 Pro,1219795431
4416714185764716,"疑似华为mate30 pro真机上手打游戏…小刘海，瀑布屏。真真假假，假假真真。<span class=""url-icon""><img alt=[吃瓜] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-c95cd5ba58.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[吃瓜] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-c95cd5ba58.png"" style=""width:1em; height:1em;"" /></span> ",0,32,34,0,45分钟前,,1840918185
4416724956485052,疑似华为Mate30 保护壳曝光，或采用5倍光变的潜望式镜头。 ,0,9,8,2,3分钟前,,2400814017
4416723552163803,这个是华为Mate30 PRO吗？想翻过来看正面是不是瀑布屏。 ,0,2,1,0,8分钟前,千玺的千纸鹤,3788429711
4416722456931167,好纠结到底是继续买苹果手机还是华为呢，是买P30Pro还是买Mate30呢 ,0,0,5,0,12分钟前,iPhone,2376153500
4416721010006728,疑似华为Mate30手机壳曝光，下面正方形那个镜头是啥作用？ ,0,3,4,1,18分钟前,,2688556445
4416720175552623,"华为MATE30保护壳？？？？ <a data-url=""http://t.cn/RDnEUnO"" href=""https://m.weibo.cn/p/index?containerid=23065700428008612000000000000&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">天津</span></a> ",0,3,0,0,22分钟前,OnePlus 7 Pro,1782998863
4416679536751673,"华为Mate30保护壳曝光，感觉好丑啊<span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span> ",0,10,14,0,3小时前,,5609650132
4416717264181741,你们说今年的Mate30系列手机会是多少呢？<br />标准版我猜测8+128  4199起步，<br />Pro版8+128  5999起步 <br />另外，很有可能这次Pro版标配5G，你们说呢？ ,0,16,22,0,33分钟前,HUAWEI Mate 20 Pro,1417975257
