chinese_text,attitude,isLongText
中秋福利哈，老爷子支持的转账已就位哈哈关注我的真爱转这条抽一个宝贝送新款5g华为mate30@微博抽奖平台 什么时候可以买第一时间开搜了一下官方还没出图，所以就私心放个我【占星妖妖】的小广子，大家点点关注不迷路！🌟 ,1,0
远行随拍，博友假日快乐别说追最新的Mate30系列，iPhone11系列拍照水准就连P30系列都追不上。苹果发布了个刚上市就落后别人一代的产品，反制华为只能靠封杀了。如果没有各种禁售，Mate30系列在全球影像手机市场会把iPhone新机摁在地上随意摩擦。 ,1,0
疑似华为mate30 pro真机上手打游戏…小刘海，瀑布屏。真真假假，假假真真。 ,0,0
疑似华为Mate30 保护壳曝光，或采用5倍光变的潜望式镜头。 ,1,0
这个是华为Mate30 PRO吗？想翻过来看正面是不是瀑布屏。 ,0,0
好纠结到底是继续买苹果手机还是华为呢，是买P30Pro还是买Mate30呢 ,0,0
疑似华为Mate30手机壳曝光，下面正方形那个镜头是啥作用？ ,0,0
华为MATE30保护壳？？？？ 天津 ,0,0
华为Mate30保护壳曝光，感觉好丑啊 ,-1,0
你们说今年的Mate30系列手机会是多少呢？标准版我猜测8+128  4199起步，Pro版8+128  5999起步 另外，很有可能这次Pro版标配5G，你们说呢？ ,0,0
华为Mate30应该不会长酱紫的，律师函。。。@长安数码君 ,1,0
疑似华为Mate30保护壳曝光，莫非Mate30也采用支持5倍光变的潜望式镜头？ ,1,0
保护套信息显示，华为Mate30 Pro支持潜望式5倍光学变焦！ ,1,0
今年的华为Mate30系列没有想象中的那么贵，买了华为Mate20X 5G版手机的用户可能就。。。 ,-1,0
疑似华为Mate30保护壳曝光，感觉假的有点过分，这都五个摄像头了 ,1,0
Mate30的后盖曝光，小正方形的开孔，潜望式长焦应该实锤了 ,1,0
vivo NEX 3真机照，可以预订2019颜值最高的手机了吧，三星Galaxy Note 10有挖孔，华为Mate30有刘海，都没有vivo NEX 3的整机感好看。 ,-1,0
华为mate30的手机壳 不知道有没有tof镜头 ,0,0
华为mate30背部设计不可能这样，不然就扣@长安数码君 的榨菜。 ,0,0
早安，没有买iPhone11的请注意⚠️，距离vivo NEX3 5G版发布还有1天；距离华为Mate30 Pro发布还有4天；距离小米MIX4发布还有9天… ,1,0
华为mate30上市后，p30pro会降价吗？好想现在就换新手机哦 ,1,0
浴霸家族大聚会：华为 Mate30、vivo NEX 3、Motorola One Zoom、iPhone 11 Pro、一加 7T Pro，你们觉得那款更好看呢？？ ,0,0
累了，iphone11和华为mate30我是真的每天都在纠结，sa了我吧。我的小破6s还能坚持一年吗，等明年苹果5g出来。 ,-1,0
华为Mate30mate30是真的丑，不过比起隔壁iPhone11刚发布就落后华为一代的样子，含泪买了吧 北京 · 五道口 ,1,0
又是壳厂曝光，这次曝光的是今年下半年的华为旗舰华为Mate30系列的背面设计，这下实锤了奥利奥设计了，只不过这个闪光灯真的感觉像是美人脸上多个痣，你觉得那？ ,-1,0
华为WatchGT2即将于9月19日慕尼黑和华为 Mate30 一起发布！据爆料：华为WatchGT  2手表将采用麒麟A1芯片，而且是第一款采用华为鸿蒙 OS的手表。 ,1,0
华为mate30保护壳曝光，惊呆的圆鼻子二郎神 ,0,0
前魅族李楠谈iPhone11，7P可以考虑更换11，iPhone12之前出来的所有5Ｇ手机都是小白鼠，不要听手机厂商忽悠。（是否是李楠本人无从考证）其实我个人觉得李楠说的没错，现在很多5Ｇ手机都是披着羊皮的4Ｇ，玩的是噱头不是真5Ｇ。月中发布的华为mate30很有可能是真5Ｇ但要看真机。（和模组芯片有关）至于其它5G手机买的很有可能是个心理安慰，即使强如三星旗舰机也并非全模组5Ｇ。一点粗见，欢迎讨论指正。,-1,1
三星Note10+、华为Mate30 Pro、iPhone 11 Max，下半年高端手机市场三巨头，就设计而言，你最看好哪一款？ ,0,0
Mate 30 Pro 保护壳显示其支持潜望式摄像头华为Mate30 ,1,0
"有朋友友问我iPhone11和华为mate30,二者相比我会选谁，如果是现在的华为产品，我肯定选iPhone11系列。如果和Mate30 Pro相比，我有可能选华为Mate30 Pro。我对华为的态度不像一些人，认为买华为就是爱国。不知道谁在营销买华为=爱国。我爱国，但是不爱华为，如果华为有好产品，我也一样会买。[吃瓜] ​ ",1,1
mate30手机壳曝光，将搭载潜望式变焦镜头，不过这个摄像头还有sensor排列是真心丑，你们觉得呢？ ,-1,0
如今还在谈论苹果iPhone11和华为mate30，貌似追时尚，实际早落伍了。手机早发展到顶点，性能过剩如图以前的电脑，买啥手机都好用了。 ,0,0
华为5G手机Mate30华为P30拍月亮大赛 我的华为mate20pro拍的月亮也不错 温州 ,1,0
《华为Mate30将至：旧设计就留给苹果，我们聊聊技术与创新》前些天，回忆着早已被曝光得一干二净的参数，带着不太期待的心情，作为数码爱好者本人就像例行公事一样将苹果发布会看完。网页链接 ,0,0
本来是想去苹果店看看iPhone 11的，结果店里也是20号开始上货😂😂😂简直了。不过旁边的vivo居然已经有了nex3，说是工厂拿出来的、不让拍照。太帅了这手机，真希望苹果也能用这样的ID。而且哈，如果mate30真是谍照那样的，感觉和nex撞机了啊。而且nex3还没有兔牙刘海。[并不简单][并不简单][并不简单],-1,1
紧随华为Mate30系列而来，搭载麒麟A1芯片的华为Watch GT2将于19日发布 Ark咔嚓一下的微博视频 ,1,0
苹果首次对比华为苹果新品iphone11没有5G，而华为5G手机Mate30即将上市，苹果5G要等一年，华为只要一周，如果您想换手机，打算入手哪款手机？ 巍岳钦禹的微博投票 ,1,0
iPhone发布后旧款出问题 康康mate30出来之前华为能买多少热搜 ,1,0
还好一个都没 三天假期只有明天一天可以休息，但愿天气晴朗，让我也能在晚上赏赏月亮，赶紧炫炫P30 PRO 50倍混合变焦。因为不久，我可能就要换MATE30了,1,0
iPhone11那么丑，配置那么差，还没有5g，还有那么多人想买。实际等一周买华为mate30 pro，或者过一两月买华为折叠屏手机都比苹果好 ,1,0
华为Mate30华为智慧屏荣耀智慧屏 我去，我去，华为智慧屏，意外泄露，这应该是随mate30新品发布一起的，可见尺寸 65寸  ,1,0
华为mate30超话mate30超话距离mate30 发布还有5天，POWER THROUGH SPEED力量穿越速度，Rethink Possibilities，2019年9月19日北京时间20:00，德国·慕尼黑，华为Mate30 全球发布会。@华为手机 @隐形冠军 @花粉俱乐部 @特快评测 @华为终端公司 @华为终端官方微博 ,1,0
这就是远超IPhone11的华为Mate30和麒麟990来了！ 控制者Ctr的微博视频 ,1,0
华为Mate30系列，最新麒麟990 5g soc芯片跑分性能曝光！！！期待下 ,1,0
《Mate30 Pro配置消息汇总，将问鼎安卓机皇宝座，售价或超过8000元》华为在今年开了多场发布会，但多是中高端机型，华为的高端手机还要看p系列和mate系列。网页链接 ,1,0
华为Mate30系列发布倒计时：还剩5天。感觉这个动图又能用好久了，只是图中的锤子手机没了。 ,0,0
华为mate30纵观全世界，也没发现有哪个手机厂商把自己旗舰系列，首发发布会，在别的国家发布（除了华为）。说是全球化，无非就是想让人感觉在国外发布，逼格会更高而已。 ,-1,0
华为mate30 pro SE崭崭新  中秋节 ,1,0
如果苹果的旗舰机与国产的旗舰机差价在1000元以内，你会选择谁呢？比如说iphone11 和华为Mate30 ，当然，我不选，因为都买不起。 ,0,0
真服我电话了。sb说给我打的第一个电话永远暂时无法接通 什么垃圾手机 明天早上给我换成p30pro。等mate30出来了再换mate…  🍎最近信号超级差 打语音电话天天信号不好 还超级卡 问了朋友们都有同感…5g已经来临 苹果拜拜 ,1,0
重磅来袭？华为Mate30 pro最新爆料！！根据爆料来看，华为Mate30pro的ISO最低125，最高819200光圈支持f1.6/2.7/32（或许是可变）主摄IMX670（有点太强了）…………如果这是真的，那肯定会在DXO排行榜上又登顶了，你觉得可信度高吗？华为Mate30 ,1,0
华为数码 华为Mate20开始，就有反向充电这一说，而且华为手机可以给苹果手机充电。这个牛逼了。最近华为Mate30快要发布了，各种新闻层出不穷。而且五花八门。我就不一样了。如果华为Mate30摄像头长这样，关注我并艾特一位好友，我就抽一位粉丝送我一部华为Mate30 Pro手机。五月数码科技 ,1,0
@哥斯达黎加女高中生 2/2超完美！这次剧场小就用不到 p30pro的望远镜功能了，mate20x稳稳得。mate30就差了几天就有了，没能用到有点小遗憾@华为手机 希望mate30p 5G追星继续天下无敌,1,0
华为mate30系列，预热视频，评论区直接被成精的粉丝解析 ,0,0
华为5G手机Mate30华为P30拍月亮大赛 我想象中的P30. PRO拍月亮 VS 我现实中拍的月亮…… 是我打开方式不对吗 ,-1,0
近日消息：小米MIX4在9月24日发布，抢在了华为Mate30国内发布会前！这是截胡华为吗？ ,0,0
华为5G手机Mate30 手机壳曝光，原来奥利奥四射长这个样子，意不意外，惊不惊喜！@华为终端公司 @华为手机 华为华为手机华为Mate30 ,1,0
我觉得华为作为一个良心企业至少要有社会责任，不能说专利都是自己的，比人家用高通专利的手机价格还要贵，比如IQOO 5G才卖3788.我觉得MATE30既然被制裁了，就应该以生存为目的，不要以盈利为目的，卖3000起就算良心企业。对得起人民了@余承东,-1,0
当iphone11 发布后，东哥心里一定在说:稳了！ 华为Mate30 泉州 ,1,0
9.19华为mate30发布，9.20零点预售，同时iphone11也全面售卖。我要好好考虑一波，抢iphone11小紫应该早上就去买要稳妥点，就这个骚紫太[给力]iphone11pro系列的暗夜绿也超赞，但肯定买不起[允悲]晚上看了会农行里面的绿森商城还是算了吧，耗不起时间。买📱就是要玩首发，等个一段时间各大平台都会降价。,1,1
华为 iPhone11低价上市，Mate30即将推出，华为Mate20 Pro跌至清仓价iPhone11低价上市，Mate30即将推出，华为Mate20 Pro跌至清仓价 ,1,0
华为5G手机Mate30快发布吧我的小米真的撑不住了_(:3」∠❀)_只要不丑我就愿意买 充一早上电就充进去30%谁受得了啊都不敢出门了_(:3」∠❀)_ ,1,0
华为mate30包装盒和真机图又被神通广大的网友曝光了，华为Mate 30的屏幕与P20系列类似，同为小刘海屏，而且这次的刘海外形，有网友戏称此次新机的屏幕为“兔牙”屏。据悉，此次曝光的华为Mate 30新机外包装与之前产品类似，底色为黑色，Logo字样则是采用了金色。有消息称，华为Mate 30旗舰新机将采用瀑布刘海屏，屏幕两侧将具备极大的弯曲幅度，整体屏占比在视觉上也会有所提升。9月19日发布，唯一让网友担心的就是价格，因为这次的价格太贵了，尤其是5g版，已经高过了三星note10，8000多的价格直逼iPhone11Pro，你会不会买华为mate30的5g版呢？数码手机华为华为手机华为Mate30,1,1
许愿iphone11 pro和华为mate30 pro 阳江 ,1,0
眼看9月19号发布会，Mate20越用速度越快，让我怎么舍得换Mate30? ,0,0
什么华为P30 Pro拍月亮、华为Mate30 Pro拍月亮、小米9拍月亮的，都给iPhone 11 Pro Max让道 ,-1,0
不知道这是不是华为Mate30 但一定不是Mate30 Pro 后者的闪光灯就是左上角开孔那里，并不是摄像模组居中那里。行长的每日一乐 ,0,0
D45 十六月最圆 期待mate30 沈阳 ,1,0
假的吧！如果华为Mate30摄像头长这样，我就抽一位粉丝送我一部华为Mate30保时捷版！ ,1,0
哈哈 不关注数码一直用华为的朋友都知道项老师了他上次不是被我忽悠买了一加7 Pro嘛觉得既不稳定又很难用  说老是要重启不知道他怎么用的…但华为就不会… 神奇就等着Mate30 Pro出来换回去了 哈哈哈哈 ,1,0
一触即发的能量，让自由尽情释放9月19日 华为Mate30 Rethink possibilities 珠海 So-boy的微博视频 ,1,0
【叽歪数码】苹果在发布会上直接点名了华为之后，让很多网友开始兴奋了起来。因为这是首次苹果将华为手机作为 华为Mate30 Pro将于9月19日发布，价格依旧感人，网友：买不起！ 网页链接 ,1,0
